model,accuracy,precision,recall,f1
Logistic Regression (combined),0.9942738103789752,0.994274794862709,0.9942738103789752,0.994274226990656
Random Forest (combined),0.9920880068139604,0.9921167997460758,0.9920880068139604,0.9920772940303124
Naive Bayes (TF-IDF only),0.9550832760372305,0.955083689265407,0.9550832760372305,0.9549198231702608
